Team,homegamesplayed,homegameswon,homederbygamesplayed,homederbygameswon,homegameswonperc,homederbygameswonperc,awaygamesplayed,awaygameswon,awayderbygamesplayed,awayderbygameswon,awaygameswonperc,awayderbygameswonperc,gamesplayed,gameswon,derbygamesplayed,derbygameswon,gameswonperc,derbygameswonperc
Arsenal,114,80,18,10,0.7017543859649122,0.5555555555555556,114,49,12,1,0.4298245614035088,0.08333333333333333,228,129,30,11,0.5657894736842105,0.36666666666666664
Aston Villa,57,13,3,2,0.22807017543859648,0.6666666666666666,57,10,3,0,0.17543859649122806,0.0,114,23,6,2,0.20175438596491227,0.3333333333333333
Bournemouth,76,29,4,1,0.3815789473684211,0.25,76,18,4,0,0.23684210526315788,0.0,152,47,8,1,0.3092105263157895,0.125
Brighton,38,13,2,1,0.34210526315789475,0.5,38,5,2,1,0.13157894736842105,0.5,76,18,4,2,0.23684210526315788,0.5
Cardiff,38,11,1,1,0.2894736842105263,1.0,38,6,1,0,0.15789473684210525,0.0,76,17,2,1,0.2236842105263158,0.5
Chelsea,114,75,21,15,0.6578947368421053,0.7142857142857143,114,60,21,8,0.5263157894736842,0.38095238095238093,228,135,42,23,0.5921052631578947,0.5476190476190477
Crystal Palace,114,38,2,1,0.3333333333333333,0.5,114,36,2,0,0.3157894736842105,0.0,228,74,4,1,0.32456140350877194,0.25
Everton,114,59,6,0,0.5175438596491229,0.0,114,30,6,0,0.2631578947368421,0.0,228,89,12,0,0.39035087719298245,0.0
Fulham,38,11,2,0,0.2894736842105263,0.0,38,5,2,0,0.13157894736842105,0.0,76,16,4,0,0.21052631578947367,0.0
Liverpool,114,75,12,6,0.6578947368421053,0.5,114,58,12,2,0.5087719298245614,0.16666666666666666,228,133,24,8,0.5833333333333334,0.3333333333333333
Man City,114,88,6,3,0.7719298245614035,0.5,114,69,6,4,0.6052631578947368,0.6666666666666666,228,157,12,7,0.6885964912280702,0.5833333333333334
Man United,114,68,12,4,0.5964912280701754,0.3333333333333333,114,52,12,4,0.45614035087719296,0.3333333333333333,228,120,24,8,0.5263157894736842,0.3333333333333333
Middlesbrough,19,4,1,1,0.21052631578947367,1.0,19,1,1,1,0.05263157894736842,1.0,38,5,2,2,0.13157894736842105,1.0
Newcastle,95,38,3,0,0.4,0.0,95,20,3,0,0.21052631578947367,0.0,190,58,6,0,0.30526315789473685,0.0
QPR,19,6,1,0,0.3157894736842105,0.0,19,2,1,0,0.10526315789473684,0.0,38,8,2,0,0.21052631578947367,0.0
Southampton,114,45,4,2,0.39473684210526316,0.5,114,34,4,1,0.2982456140350877,0.25,228,79,8,3,0.34649122807017546,0.375
Sunderland,76,18,4,3,0.23684210526315788,0.75,76,14,4,2,0.18421052631578946,0.5,152,32,8,5,0.21052631578947367,0.625
Swansea,95,37,1,1,0.3894736842105263,1.0,95,22,1,0,0.23157894736842105,0.0,190,59,2,1,0.3105263157894737,0.5
Tottenham,114,73,18,8,0.6403508771929824,0.4444444444444444,114,58,18,4,0.5087719298245614,0.2222222222222222,228,131,36,12,0.5745614035087719,0.3333333333333333
West Brom,95,29,3,1,0.30526315789473685,0.3333333333333333,95,17,3,1,0.17894736842105263,0.3333333333333333,190,46,6,2,0.24210526315789474,0.3333333333333333
West Ham,114,48,12,5,0.42105263157894735,0.4166666666666667,114,28,18,3,0.24561403508771928,0.16666666666666666,228,76,30,8,0.3333333333333333,0.26666666666666666
