Team,count,OverallRank,RankDeficit,OverallReDraft
ATL,12,18.6,-99.0,26.8
BOS,15,18.1,-49.0,21.4
BRK,5,25.8,59.0,14.0
CHA,7,10.7,-74.0,21.3
CHH,2,16.5,-32.0,32.5
CHI,15,18.9,-72.0,23.7
CHO,4,13.2,-65.0,29.5
CLE,11,12.3,-265.0,36.4
DAL,7,16.4,-54.0,24.1
DEN,9,15.7,-16.0,17.4
DET,9,12.7,-101.0,23.9
GSW,9,18.1,-4.0,18.6
HOU,9,18.3,43.0,13.6
IND,10,17.0,-17.0,18.7
LAC,8,14.9,-26.0,18.1
LAL,8,15.2,-39.0,20.1
MEM,12,18.3,-151.0,30.9
MIA,5,15.8,-65.0,28.8
MIL,11,12.3,-107.0,22.0
MIN,17,12.1,-189.0,23.2
NJN,6,16.5,-48.0,24.5
NOH,6,12.7,-45.0,20.2
NOP,1,6.0,2.0,4.0
NYK,7,10.9,-121.0,28.1
OKC,13,20.8,-61.0,25.5
ORL,10,11.6,-73.0,18.9
PHI,15,12.1,-110.0,19.4
PHO,16,14.2,-253.0,30.1
POR,12,17.8,-132.0,28.8
SAC,13,7.8,-227.0,25.3
SAS,7,25.9,64.0,16.7
SEA,2,14.0,19.0,4.5
TOR,10,15.1,45.0,10.6
UTA,14,16.4,-154.0,27.4
WAS,9,12.6,-86.0,22.1
