Player,Club,Minutes
Hugo Lloris,Tottenham,17792
Harry Kane,Tottenham,16531
Christian Eriksen,Tottenham,16223
Toby Alderweireld,Tottenham,15301
Jan Vertonghen,Tottenham,14684
Dele Alli,Tottenham,14333
Eric Dier,Tottenham,14104
Davinson Sánchez,Tottenham,11339
Son Heung-Min,Tottenham,11226
Moussa Sissoko,Tottenham,10897
Ben Davies,Tottenham,10442
Lucas Moura,Tottenham,9274
Danny Rose,Tottenham,9046
Serge Aurier,Tottenham,8812
Ryan Sessegnon,Tottenham,8321
Victor Wanyama,Tottenham,8065
Tanguy Ndombele,Tottenham,7533
Giovani Lo Celso,Tottenham,7219
Erik Lamela,Tottenham,6752
Harry Winks,Tottenham,5286
Georges-Kévin Nkoudou,Tottenham,3632
Juan Foyth,Tottenham,2192
Paulo Gazzaniga,Tottenham,1342
Kyle Walker-Peters,Tottenham,885
Oliver Skipp,Tottenham,222
